Date,Site,Barn,Avg_Temperature_F,Avg_Humidity_pct,Water_Usage_Gallons,Power_Usage_kWh,Ventilation_Level_pct,Notes
4/24/2025,Nursery North,N2,88.5,69.4,2092,389.9,54.4,Synthetic environmental + utility data for planning and analytics
4/25/2025,Nursery North,N2,84.1,64.3,2362,348.2,41.1,Synthetic environmental + utility data for planning and analytics
4/26/2025,Nursery North,N2,87,65.9,1869,354,59.6,Synthetic environmental + utility data for planning and analytics
4/27/2025,Nursery North,N2,87.6,65.6,1996,375.7,45.7,Synthetic environmental + utility data for planning and analytics
4/28/2025,Nursery North,N2,85.2,63.3,2597,358.7,71.5,Synthetic environmental + utility data for planning and analytics
4/29/2025,Nursery North,N2,88.3,59.4,2453,402.9,65.2,Synthetic environmental + utility data for planning and analytics
4/30/2025,Nursery North,N2,85,64.2,2450,374.8,68.6,Synthetic environmental + utility data for planning and analytics
5/1/2025,Nursery North,N2,85.9,73.9,2280,355.7,46.6,Synthetic environmental + utility data for planning and analytics
5/2/2025,Nursery North,N2,89.7,66.6,2583,342.9,42.6,Synthetic environmental + utility data for planning and analytics
5/3/2025,Nursery North,N2,85.3,67,1979,330.4,55.3,Synthetic environmental + utility data for planning and analytics
5/4/2025,Nursery North,N2,85.2,62,2590,384.7,83.8,Synthetic environmental + utility data for planning and analytics
5/5/2025,Nursery North,N2,86.7,58.3,2020,416.2,66.6,Synthetic environmental + utility data for planning and analytics
5/6/2025,Nursery North,N2,83.2,67.1,2479,320.3,50.2,Synthetic environmental + utility data for planning and analytics
5/7/2025,Nursery North,N2,85.5,71,2002,398.7,71.6,Synthetic environmental + utility data for planning and analytics
5/8/2025,Nursery North,N2,84.3,73.1,2017,342.9,81.4,Synthetic environmental + utility data for planning and analytics
5/9/2025,Nursery North,N2,86.9,74.2,1952,417.8,60.8,Synthetic environmental + utility data for planning and analytics
5/10/2025,Nursery North,N2,85.7,67.5,2157,410.9,83.9,Synthetic environmental + utility data for planning and analytics
5/11/2025,Nursery North,N2,86.3,58.6,2275,404.4,59.4,Synthetic environmental + utility data for planning and analytics
5/12/2025,Nursery North,N2,83.2,59.3,2300,382.2,80.9,Synthetic environmental + utility data for planning and analytics
5/13/2025,Nursery North,N2,81.7,65,2042,410.2,60.4,Synthetic environmental + utility data for planning and analytics
5/14/2025,Nursery North,N2,81.4,73.7,2296,322.4,61.4,Synthetic environmental + utility data for planning and analytics
5/15/2025,Nursery North,N2,84.4,60.7,2357,379.7,48.3,Synthetic environmental + utility data for planning and analytics
5/16/2025,Nursery North,N2,81.2,60.7,1908,349.9,46,Synthetic environmental + utility data for planning and analytics
5/17/2025,Nursery North,N2,84.6,70.2,2542,320.5,56,Synthetic environmental + utility data for planning and analytics
5/18/2025,Nursery North,N2,84.5,74.6,2316,352.6,55.8,Synthetic environmental + utility data for planning and analytics
5/19/2025,Nursery North,N2,80.4,57.2,2464,405.6,63.7,Synthetic environmental + utility data for planning and analytics
5/20/2025,Nursery North,N2,85.4,67.8,2058,326.3,76.5,Synthetic environmental + utility data for planning and analytics
5/21/2025,Nursery North,N2,79.7,56.6,2329,380.1,46.5,Synthetic environmental + utility data for planning and analytics
5/22/2025,Nursery North,N2,82.8,64.6,2552,394.8,45.3,Synthetic environmental + utility data for planning and analytics
5/23/2025,Nursery North,N2,77.7,66.4,1922,335.3,51.7,Synthetic environmental + utility data for planning and analytics
5/24/2025,Nursery North,N2,80.4,68.5,1971,329.5,56.8,Synthetic environmental + utility data for planning and analytics
5/25/2025,Nursery North,N2,79.6,72.2,2507,375.1,67.9,Synthetic environmental + utility data for planning and analytics
5/26/2025,Nursery North,N2,82.6,71,1911,378.9,63.7,Synthetic environmental + utility data for planning and analytics
5/27/2025,Nursery North,N2,83.2,68.5,1824,375.1,67.2,Synthetic environmental + utility data for planning and analytics
5/28/2025,Nursery North,N2,82.6,69.2,2534,377.2,44.7,Synthetic environmental + utility data for planning and analytics
5/29/2025,Nursery North,N2,82,65.2,2569,391.7,83.7,Synthetic environmental + utility data for planning and analytics
5/30/2025,Nursery North,N2,81.6,62.5,1818,406.1,69.3,Synthetic environmental + utility data for planning and analytics
5/31/2025,Nursery North,N2,77.8,68.9,2000,322.6,41,Synthetic environmental + utility data for planning and analytics
6/1/2025,Nursery North,N2,76.8,65.1,2056,339.6,53.8,Synthetic environmental + utility data for planning and analytics
6/2/2025,Nursery North,N2,82,69.2,2323,368,41.3,Synthetic environmental + utility data for planning and analytics
6/3/2025,Nursery North,N2,77.8,63.6,1925,389.2,59.3,Synthetic environmental + utility data for planning and analytics
6/4/2025,Nursery North,N2,81.5,59.2,1904,351.9,37.3,Synthetic environmental + utility data for planning and analytics
6/5/2025,Nursery North,N2,79.9,62.7,2553,329.2,50.1,Synthetic environmental + utility data for planning and analytics
6/6/2025,Nursery North,N2,74.9,62.5,2457,396.1,69.7,Synthetic environmental + utility data for planning and analytics
6/7/2025,Nursery North,N2,79.7,59.9,1874,359.1,78.1,Synthetic environmental + utility data for planning and analytics
6/8/2025,Nursery North,N2,76.3,67.3,2111,339.1,67.1,Synthetic environmental + utility data for planning and analytics
6/9/2025,Nursery North,N2,74.1,57.2,2532,419.6,73.5,Synthetic environmental + utility data for planning and analytics
6/10/2025,Nursery North,N2,76.2,70.4,2396,324.3,80.7,Synthetic environmental + utility data for planning and analytics
6/11/2025,Nursery North,N2,72.1,64.3,2168,377.5,62.3,Synthetic environmental + utility data for planning and analytics
6/12/2025,Nursery North,N2,74,63.5,1978,360.1,61.5,Synthetic environmental + utility data for planning and analytics
6/13/2025,Nursery North,N2,71.8,60.9,1921,345,64,Synthetic environmental + utility data for planning and analytics
6/14/2025,Nursery North,N2,77.3,60.7,1970,384.5,39.4,Synthetic environmental + utility data for planning and analytics
6/15/2025,Nursery North,N2,72.4,65.8,2147,389.2,69.5,Synthetic environmental + utility data for planning and analytics
6/16/2025,Nursery North,N2,71.8,59.5,2476,321.7,66.1,Synthetic environmental + utility data for planning and analytics
6/17/2025,Nursery North,N2,75.4,55,2481,418.6,51.4,Synthetic environmental + utility data for planning and analytics
6/18/2025,Nursery North,N2,75,65.1,2507,324.3,69.5,Synthetic environmental + utility data for planning and analytics
6/19/2025,Nursery North,N2,72.6,55,2299,352,74.5,Synthetic environmental + utility data for planning and analytics
6/20/2025,Nursery North,N2,75.6,63.3,2420,397.9,41.5,Synthetic environmental + utility data for planning and analytics
6/21/2025,Nursery North,N2,73.8,66.9,2434,412.4,41.6,Synthetic environmental + utility data for planning and analytics
6/22/2025,Nursery North,N2,76.2,55.2,2123,406.7,38.2,Synthetic environmental + utility data for planning and analytics
6/23/2025,Nursery North,N2,72,66.7,2062,366,56.5,Synthetic environmental + utility data for planning and analytics
6/24/2025,Nursery North,N2,72.2,74.3,2316,381.3,46.7,Synthetic environmental + utility data for planning and analytics
6/25/2025,Nursery North,N2,70.3,59.5,2542,340.9,62.8,Synthetic environmental + utility data for planning and analytics
6/26/2025,Nursery North,N2,68,62.5,2461,393.9,47.6,Synthetic environmental + utility data for planning and analytics
6/27/2025,Nursery North,N2,69.5,70,1840,388.3,52.8,Synthetic environmental + utility data for planning and analytics
6/28/2025,Nursery North,N2,71.6,68.5,2495,400.4,84,Synthetic environmental + utility data for planning and analytics
6/29/2025,Nursery North,N2,71.8,56.8,2566,416.2,68.4,Synthetic environmental + utility data for planning and analytics
6/30/2025,Nursery North,N2,70.7,59.4,2295,391.4,74.3,Synthetic environmental + utility data for planning and analytics
7/1/2025,Nursery North,N2,71.5,70.7,2168,359.2,56.6,Synthetic environmental + utility data for planning and analytics
7/2/2025,Nursery North,N2,71.7,68.7,2445,380.6,76.1,Synthetic environmental + utility data for planning and analytics
7/3/2025,Nursery North,N2,68.3,65.4,2463,379.8,35,Synthetic environmental + utility data for planning and analytics
7/4/2025,Nursery North,N2,68.9,59.2,2266,405.9,56.8,Synthetic environmental + utility data for planning and analytics
7/5/2025,Nursery North,N2,65.9,58.4,2292,405.5,75,Synthetic environmental + utility data for planning and analytics
7/6/2025,Nursery North,N2,71.4,59.3,1973,338.5,48.8,Synthetic environmental + utility data for planning and analytics
7/7/2025,Nursery North,N2,65.1,59.9,1914,365.5,76.6,Synthetic environmental + utility data for planning and analytics
7/8/2025,Nursery North,N2,67.5,58.5,1881,413.7,39.8,Synthetic environmental + utility data for planning and analytics
7/9/2025,Nursery North,N2,65.5,73.6,1870,331.3,81.9,Synthetic environmental + utility data for planning and analytics
7/10/2025,Nursery North,N2,66,65.9,1855,346,78.4,Synthetic environmental + utility data for planning and analytics
7/11/2025,Nursery North,N2,66,68.6,2183,396.8,46,Synthetic environmental + utility data for planning and analytics
7/12/2025,Nursery North,N2,63.2,69,2152,368.6,54.1,Synthetic environmental + utility data for planning and analytics
7/13/2025,Nursery North,N2,67.9,73.5,2068,402.3,69.1,Synthetic environmental + utility data for planning and analytics
7/14/2025,Nursery North,N2,65.5,58.1,2457,328.7,55.8,Synthetic environmental + utility data for planning and analytics
7/15/2025,Nursery North,N2,62,60,1807,379.5,61.8,Synthetic environmental + utility data for planning and analytics
7/16/2025,Nursery North,N2,61.4,71.9,1831,329.9,52.1,Synthetic environmental + utility data for planning and analytics
7/17/2025,Nursery North,N2,66.4,69.5,2595,364.9,56.4,Synthetic environmental + utility data for planning and analytics
7/18/2025,Nursery North,N2,67.1,73.7,2456,382.8,72.5,Synthetic environmental + utility data for planning and analytics
7/19/2025,Nursery North,N2,66.1,62.2,1859,355.9,80.8,Synthetic environmental + utility data for planning and analytics
7/20/2025,Nursery North,N2,64.2,73.8,2175,344.5,53.9,Synthetic environmental + utility data for planning and analytics
7/21/2025,Nursery North,N2,58.6,57.6,1900,373.5,37.1,Synthetic environmental + utility data for planning and analytics
7/22/2025,Nursery North,N2,59.8,70.5,2095,382.3,71.4,Synthetic environmental + utility data for planning and analytics
7/23/2025,Nursery North,N2,62.6,70.9,2223,381,69.1,Synthetic environmental + utility data for planning and analytics
7/24/2025,Nursery North,N2,59,65.2,1898,386.6,78.3,Synthetic environmental + utility data for planning and analytics
7/25/2025,Nursery North,N2,58.8,62.3,1819,393.7,84.6,Synthetic environmental + utility data for planning and analytics
7/26/2025,Nursery North,N2,64.3,71.3,1825,336.8,53.6,Synthetic environmental + utility data for planning and analytics
7/27/2025,Nursery North,N2,60.4,59.2,2596,367.1,53.2,Synthetic environmental + utility data for planning and analytics
7/28/2025,Nursery North,N2,62.9,60.8,2401,333.3,69.5,Synthetic environmental + utility data for planning and analytics
7/29/2025,Nursery North,N2,59.3,65.8,1851,330.7,55.2,Synthetic environmental + utility data for planning and analytics
7/30/2025,Nursery North,N2,63.3,61.2,1835,359.4,63.8,Synthetic environmental + utility data for planning and analytics
7/31/2025,Nursery North,N2,58.5,67.7,2122,408.7,66.3,Synthetic environmental + utility data for planning and analytics
8/1/2025,Nursery North,N2,55,56.6,1976,388.8,48.3,Synthetic environmental + utility data for planning and analytics
8/2/2025,Nursery North,N2,55,62,2588,390.2,55.2,Synthetic environmental + utility data for planning and analytics
8/3/2025,Nursery North,N2,55.8,75,2159,383,47.9,Synthetic environmental + utility data for planning and analytics
8/4/2025,Nursery North,N2,56.4,61.9,2445,408.8,68.5,Synthetic environmental + utility data for planning and analytics
8/5/2025,Nursery North,N2,58.3,70.2,2330,399,39.7,Synthetic environmental + utility data for planning and analytics
8/6/2025,Nursery North,N2,59.6,64.8,2009,353.3,44.1,Synthetic environmental + utility data for planning and analytics
8/7/2025,Nursery North,N2,58.7,65.1,2180,399.2,74.7,Synthetic environmental + utility data for planning and analytics
8/8/2025,Nursery North,N2,59.2,57.7,2524,405.1,50.8,Synthetic environmental + utility data for planning and analytics
8/9/2025,Nursery North,N2,56.5,67.1,2521,372.4,42.6,Synthetic environmental + utility data for planning and analytics
8/10/2025,Nursery North,N2,57.8,66.9,2364,332.4,58.4,Synthetic environmental + utility data for planning and analytics
8/11/2025,Nursery North,N2,53.9,55.2,2183,331.3,75.3,Synthetic environmental + utility data for planning and analytics
8/12/2025,Nursery North,N2,55.3,72.3,2034,408.1,39.7,Synthetic environmental + utility data for planning and analytics
8/13/2025,Nursery North,N2,58.1,59.9,2290,394.6,59.2,Synthetic environmental + utility data for planning and analytics
8/14/2025,Nursery North,N2,51.4,65.7,1879,360.2,76.2,Synthetic environmental + utility data for planning and analytics
8/15/2025,Nursery North,N2,55.6,68,2246,385.2,65.9,Synthetic environmental + utility data for planning and analytics
8/16/2025,Nursery North,N2,57.6,68.4,2488,369.8,65.4,Synthetic environmental + utility data for planning and analytics
8/17/2025,Nursery North,N2,54.7,70.1,2262,392.8,48.2,Synthetic environmental + utility data for planning and analytics
8/18/2025,Nursery North,N2,57.6,63.8,2323,389.8,54,Synthetic environmental + utility data for planning and analytics
8/19/2025,Nursery North,N2,53.5,66,2495,378,44.1,Synthetic environmental + utility data for planning and analytics
8/20/2025,Nursery North,N2,56,60.7,2557,361.6,56.9,Synthetic environmental + utility data for planning and analytics
8/21/2025,Nursery North,N2,55.2,71.8,2541,347.1,37.2,Synthetic environmental + utility data for planning and analytics
8/22/2025,Nursery North,N2,52.3,64.3,2591,341.8,39.9,Synthetic environmental + utility data for planning and analytics
8/23/2025,Nursery North,N2,53.8,62.4,1824,363.4,79.8,Synthetic environmental + utility data for planning and analytics
8/24/2025,Nursery North,N2,55.4,61.6,2449,394.1,72.3,Synthetic environmental + utility data for planning and analytics
8/25/2025,Nursery North,N2,54.1,64.5,1983,345.9,35.4,Synthetic environmental + utility data for planning and analytics
8/26/2025,Nursery North,N2,48.8,60.1,2024,355.4,53.3,Synthetic environmental + utility data for planning and analytics
8/27/2025,Nursery North,N2,52.8,70.3,2546,350.6,38.6,Synthetic environmental + utility data for planning and analytics
8/28/2025,Nursery North,N2,54.7,70.2,2364,410.7,70.5,Synthetic environmental + utility data for planning and analytics
8/29/2025,Nursery North,N2,50.5,59.8,2178,345.2,48.5,Synthetic environmental + utility data for planning and analytics
8/30/2025,Nursery North,N2,48.9,60.9,1847,372.3,55.4,Synthetic environmental + utility data for planning and analytics
8/31/2025,Nursery North,N2,52.5,60.9,2230,345.2,36.7,Synthetic environmental + utility data for planning and analytics
9/1/2025,Nursery North,N2,51.3,61.3,2444,396,53.6,Synthetic environmental + utility data for planning and analytics
9/2/2025,Nursery North,N2,54.2,65.4,2577,334.1,77.2,Synthetic environmental + utility data for planning and analytics
9/3/2025,Nursery North,N2,54.2,61.5,1865,374.4,42,Synthetic environmental + utility data for planning and analytics
9/4/2025,Nursery North,N2,48.8,59.6,2042,377.9,52.4,Synthetic environmental + utility data for planning and analytics
9/5/2025,Nursery North,N2,49.5,60.7,1875,388.7,78.3,Synthetic environmental + utility data for planning and analytics
9/6/2025,Nursery North,N2,49.5,73.5,1809,390.8,71.3,Synthetic environmental + utility data for planning and analytics
9/7/2025,Nursery North,N2,48,65.1,2167,390.6,83.3,Synthetic environmental + utility data for planning and analytics
9/8/2025,Nursery North,N2,53.3,74,2353,367.1,77.3,Synthetic environmental + utility data for planning and analytics
9/9/2025,Nursery North,N2,54.1,74.1,2251,390.6,61.8,Synthetic environmental + utility data for planning and analytics
9/10/2025,Nursery North,N2,48.5,66.8,2499,347.6,46.5,Synthetic environmental + utility data for planning and analytics
9/11/2025,Nursery North,N2,47.9,65.2,2312,356.6,37.8,Synthetic environmental + utility data for planning and analytics
9/12/2025,Nursery North,N2,50.8,68.9,1956,347.6,84.3,Synthetic environmental + utility data for planning and analytics
9/13/2025,Nursery North,N2,51.9,72.8,1945,341.6,58.5,Synthetic environmental + utility data for planning and analytics
9/14/2025,Nursery North,N2,46.1,66.2,2094,376.6,42.5,Synthetic environmental + utility data for planning and analytics
9/15/2025,Nursery North,N2,47.4,67.5,2449,399.5,64.6,Synthetic environmental + utility data for planning and analytics
9/16/2025,Nursery North,N2,49.3,58.4,2068,417.8,43.7,Synthetic environmental + utility data for planning and analytics
9/17/2025,Nursery North,N2,53.4,68.8,1910,372.8,60.4,Synthetic environmental + utility data for planning and analytics
9/18/2025,Nursery North,N2,50.7,67,1922,338.8,83.1,Synthetic environmental + utility data for planning and analytics
9/19/2025,Nursery North,N2,46.7,73.2,1901,383.4,68.1,Synthetic environmental + utility data for planning and analytics
9/20/2025,Nursery North,N2,46,66,2185,416.4,40.8,Synthetic environmental + utility data for planning and analytics
9/21/2025,Nursery North,N2,46.3,72.8,2512,389.3,83.2,Synthetic environmental + utility data for planning and analytics
9/22/2025,Nursery North,N2,48.6,59.6,2567,419.9,41.7,Synthetic environmental + utility data for planning and analytics
9/23/2025,Nursery North,N2,49.4,58.4,2322,347.3,66.9,Synthetic environmental + utility data for planning and analytics
9/24/2025,Nursery North,N2,51.5,64.1,2276,321.5,79.4,Synthetic environmental + utility data for planning and analytics
9/25/2025,Nursery North,N2,50.7,68.2,2208,368.8,48.5,Synthetic environmental + utility data for planning and analytics
9/26/2025,Nursery North,N2,50.8,63.3,2149,351.8,49.4,Synthetic environmental + utility data for planning and analytics
9/27/2025,Nursery North,N2,52.4,74,1848,340.2,61.9,Synthetic environmental + utility data for planning and analytics
9/28/2025,Nursery North,N2,46.8,70.2,2101,348.5,71.8,Synthetic environmental + utility data for planning and analytics
9/29/2025,Nursery North,N2,45.1,63.4,2245,366.6,47.2,Synthetic environmental + utility data for planning and analytics
9/30/2025,Nursery North,N2,50.1,67.3,2592,387,44,Synthetic environmental + utility data for planning and analytics
10/1/2025,Nursery North,N2,47.3,69.1,1941,401.1,84.4,Synthetic environmental + utility data for planning and analytics
10/2/2025,Nursery North,N2,49.8,68.8,2547,359.4,80.3,Synthetic environmental + utility data for planning and analytics
10/3/2025,Nursery North,N2,52.5,61.3,2534,373.2,70.6,Synthetic environmental + utility data for planning and analytics
10/4/2025,Nursery North,N2,51.7,74.1,2250,333.7,63.8,Synthetic environmental + utility data for planning and analytics
10/5/2025,Nursery North,N2,51.1,64.5,2428,392.4,50.5,Synthetic environmental + utility data for planning and analytics
10/6/2025,Nursery North,N2,46.7,64.3,2325,371.7,35.7,Synthetic environmental + utility data for planning and analytics
10/7/2025,Nursery North,N2,46.3,66.1,2458,352.2,47.9,Synthetic environmental + utility data for planning and analytics
10/8/2025,Nursery North,N2,50.7,73.7,2008,368.2,36.9,Synthetic environmental + utility data for planning and analytics
10/9/2025,Nursery North,N2,46,69.3,2509,367.6,53.1,Synthetic environmental + utility data for planning and analytics
10/10/2025,Nursery North,N2,49.9,67.7,2035,412.5,60.7,Synthetic environmental + utility data for planning and analytics
10/11/2025,Nursery North,N2,47.6,63,2451,410.2,81.6,Synthetic environmental + utility data for planning and analytics
10/12/2025,Nursery North,N2,45.8,64.1,2556,355.9,36.9,Synthetic environmental + utility data for planning and analytics
10/13/2025,Nursery North,N2,52,55.5,2513,359.9,38.6,Synthetic environmental + utility data for planning and analytics
10/14/2025,Nursery North,N2,48.6,62.8,1924,403.4,38.9,Synthetic environmental + utility data for planning and analytics
10/15/2025,Nursery North,N2,45.6,65.8,2369,372.5,83,Synthetic environmental + utility data for planning and analytics
10/16/2025,Nursery North,N2,47.5,74.9,2080,399.5,63.4,Synthetic environmental + utility data for planning and analytics
10/17/2025,Nursery North,N2,52.3,69.8,2083,357.2,78.3,Synthetic environmental + utility data for planning and analytics
10/18/2025,Nursery North,N2,46.4,72.1,1996,360.8,70,Synthetic environmental + utility data for planning and analytics
10/19/2025,Nursery North,N2,48.8,71.3,2068,350.1,65.2,Synthetic environmental + utility data for planning and analytics
10/20/2025,Nursery North,N2,46.5,66.7,2551,404.7,64.9,Synthetic environmental + utility data for planning and analytics
10/21/2025,Nursery North,N2,47.6,59.8,2103,406.3,53.9,Synthetic environmental + utility data for planning and analytics
10/22/2025,Nursery North,N2,52.4,74.1,1950,381.7,61.2,Synthetic environmental + utility data for planning and analytics
10/23/2025,Nursery North,N2,51,66.1,2449,320.1,67.2,Synthetic environmental + utility data for planning and analytics
10/24/2025,Nursery North,N2,47.9,58.2,1876,334.4,49.6,Synthetic environmental + utility data for planning and analytics
10/25/2025,Nursery North,N2,49.1,74.8,2465,338.4,51.2,Synthetic environmental + utility data for planning and analytics
10/26/2025,Nursery North,N2,49.6,70.3,2145,368.7,65.3,Synthetic environmental + utility data for planning and analytics
10/27/2025,Nursery North,N2,53.5,62.1,2350,408.4,78.1,Synthetic environmental + utility data for planning and analytics
10/28/2025,Nursery North,N2,52.2,59.6,2067,345.5,76.3,Synthetic environmental + utility data for planning and analytics
10/29/2025,Nursery North,N2,52.6,64.6,2030,329.8,68.1,Synthetic environmental + utility data for planning and analytics
10/30/2025,Nursery North,N2,48.1,56.3,2384,368.8,73.4,Synthetic environmental + utility data for planning and analytics
10/31/2025,Nursery North,N2,53.3,58.6,2585,368.5,46.8,Synthetic environmental + utility data for planning and analytics
11/1/2025,Nursery North,N2,52.2,69.4,2047,374.4,82.1,Synthetic environmental + utility data for planning and analytics
11/2/2025,Nursery North,N2,49,59.1,2216,396,80.5,Synthetic environmental + utility data for planning and analytics
11/3/2025,Nursery North,N2,48.9,57.1,1946,395.3,80.7,Synthetic environmental + utility data for planning and analytics
11/4/2025,Nursery North,N2,55.6,63.8,2419,350.5,44.5,Synthetic environmental + utility data for planning and analytics
11/5/2025,Nursery North,N2,49.2,67,2009,377.2,41.3,Synthetic environmental + utility data for planning and analytics
11/6/2025,Nursery North,N2,51.4,67.3,1913,354.2,68.8,Synthetic environmental + utility data for planning and analytics
11/7/2025,Nursery North,N2,50.6,67.2,2541,383.8,74.6,Synthetic environmental + utility data for planning and analytics
11/8/2025,Nursery North,N2,55.2,71.3,2092,384.9,62.7,Synthetic environmental + utility data for planning and analytics
11/9/2025,Nursery North,N2,54.3,60.6,2004,340.2,56.1,Synthetic environmental + utility data for planning and analytics
11/10/2025,Nursery North,N2,56,64.3,2269,361.8,41.1,Synthetic environmental + utility data for planning and analytics
11/11/2025,Nursery North,N2,51.2,62.7,2170,372.2,56.1,Synthetic environmental + utility data for planning and analytics
11/12/2025,Nursery North,N2,50.5,61.3,1931,340.1,44.5,Synthetic environmental + utility data for planning and analytics
11/13/2025,Nursery North,N2,52.2,74.7,1826,403.2,68.5,Synthetic environmental + utility data for planning and analytics
11/14/2025,Nursery North,N2,51.7,64.4,1943,382.4,73.6,Synthetic environmental + utility data for planning and analytics
11/15/2025,Nursery North,N2,55.7,64.5,2555,358.3,83.2,Synthetic environmental + utility data for planning and analytics
11/16/2025,Nursery North,N2,57.2,58.5,2595,368,53.9,Synthetic environmental + utility data for planning and analytics
11/17/2025,Nursery North,N2,55.7,69.8,2039,358,50.7,Synthetic environmental + utility data for planning and analytics
11/18/2025,Nursery North,N2,56,59.8,2288,323.3,41.8,Synthetic environmental + utility data for planning and analytics
11/19/2025,Nursery North,N2,57.7,60.5,1992,409.8,56,Synthetic environmental + utility data for planning and analytics
11/20/2025,Nursery North,N2,52.4,66.8,2568,320.5,79.8,Synthetic environmental + utility data for planning and analytics
11/21/2025,Nursery North,N2,55.4,62.3,2332,352.2,46.5,Synthetic environmental + utility data for planning and analytics
11/22/2025,Nursery North,N2,59.5,73.9,2571,340.5,69.6,Synthetic environmental + utility data for planning and analytics
11/23/2025,Nursery North,N2,59.2,64,2181,341.9,66.8,Synthetic environmental + utility data for planning and analytics
11/24/2025,Nursery North,N2,56.7,65.5,2415,386.2,59.5,Synthetic environmental + utility data for planning and analytics
11/25/2025,Nursery North,N2,60.8,71.2,2478,320.9,36.4,Synthetic environmental + utility data for planning and analytics
11/26/2025,Nursery North,N2,54.8,70,1908,404.8,75.2,Synthetic environmental + utility data for planning and analytics
11/27/2025,Nursery North,N2,61.4,64.8,2128,373.5,55.8,Synthetic environmental + utility data for planning and analytics
11/28/2025,Nursery North,N2,55.1,64,2292,336.8,74.4,Synthetic environmental + utility data for planning and analytics
11/29/2025,Nursery North,N2,58.2,67,2546,362.5,50.5,Synthetic environmental + utility data for planning and analytics
11/30/2025,Nursery North,N2,55.4,69.9,2363,350.5,77.7,Synthetic environmental + utility data for planning and analytics
12/1/2025,Nursery North,N2,56.2,63.7,2013,398.1,71.4,Synthetic environmental + utility data for planning and analytics
12/2/2025,Nursery North,N2,56.5,66.1,2054,386.2,65.8,Synthetic environmental + utility data for planning and analytics
12/3/2025,Nursery North,N2,61.5,58.7,2334,337.7,40.1,Synthetic environmental + utility data for planning and analytics
12/4/2025,Nursery North,N2,59.6,65.8,2515,375.2,36.1,Synthetic environmental + utility data for planning and analytics
12/5/2025,Nursery North,N2,57.1,74.2,2319,343.5,35.7,Synthetic environmental + utility data for planning and analytics
12/6/2025,Nursery North,N2,64.4,72.9,2511,357.8,46.6,Synthetic environmental + utility data for planning and analytics
12/7/2025,Nursery North,N2,58.4,64.7,2275,393,78.1,Synthetic environmental + utility data for planning and analytics
12/8/2025,Nursery North,N2,62.3,58.8,2308,371.9,81.9,Synthetic environmental + utility data for planning and analytics
12/9/2025,Nursery North,N2,60,64.9,2268,388.3,66.3,Synthetic environmental + utility data for planning and analytics
12/10/2025,Nursery North,N2,61.1,61.4,2173,377,69.4,Synthetic environmental + utility data for planning and analytics
12/11/2025,Nursery North,N2,61.2,67.5,2564,333.1,82.3,Synthetic environmental + utility data for planning and analytics
12/12/2025,Nursery North,N2,60.1,72.4,2129,394,44.1,Synthetic environmental + utility data for planning and analytics
12/13/2025,Nursery North,N2,64,67.9,1863,328.5,55.9,Synthetic environmental + utility data for planning and analytics
12/14/2025,Nursery North,N2,60.5,55.3,2234,330.3,71.1,Synthetic environmental + utility data for planning and analytics
12/15/2025,Nursery North,N2,64,58.1,2437,345.6,63.7,Synthetic environmental + utility data for planning and analytics
12/16/2025,Nursery North,N2,61,59.3,1801,378.5,61,Synthetic environmental + utility data for planning and analytics
12/17/2025,Nursery North,N2,63.2,68.9,2167,343.8,66.9,Synthetic environmental + utility data for planning and analytics
12/18/2025,Nursery North,N2,64.1,70.3,2011,325,55.7,Synthetic environmental + utility data for planning and analytics
12/19/2025,Nursery North,N2,67.8,73.2,1991,405.9,40.8,Synthetic environmental + utility data for planning and analytics
12/20/2025,Nursery North,N2,64.8,63.6,1829,328.3,81.8,Synthetic environmental + utility data for planning and analytics
12/21/2025,Nursery North,N2,67.6,59.9,2098,353.4,80.4,Synthetic environmental + utility data for planning and analytics
12/22/2025,Nursery North,N2,66.4,56.3,2008,367,68.1,Synthetic environmental + utility data for planning and analytics
12/23/2025,Nursery North,N2,63.7,56,2010,418.1,53,Synthetic environmental + utility data for planning and analytics
12/24/2025,Nursery North,N2,67.4,68.1,2407,369.2,84.7,Synthetic environmental + utility data for planning and analytics
12/25/2025,Nursery North,N2,68.7,71.4,2507,404.6,41.8,Synthetic environmental + utility data for planning and analytics
12/26/2025,Nursery North,N2,64.6,70.7,1968,364.7,64.9,Synthetic environmental + utility data for planning and analytics
12/27/2025,Nursery North,N2,67.6,73.1,2147,353.5,42.9,Synthetic environmental + utility data for planning and analytics
12/28/2025,Nursery North,N2,70.6,67.1,2214,396.1,56.2,Synthetic environmental + utility data for planning and analytics
12/29/2025,Nursery North,N2,68.4,57.6,2204,369.3,70,Synthetic environmental + utility data for planning and analytics
12/30/2025,Nursery North,N2,70.7,73.1,2117,417.2,39.1,Synthetic environmental + utility data for planning and analytics
12/31/2025,Nursery North,N2,68.4,55.7,1842,384.3,75.5,Synthetic environmental + utility data for planning and analytics
1/1/2025,Nursery South,NS1,67.7,63.2,2049,376.9,55.5,Synthetic environmental + utility data for planning and analytics
1/2/2025,Nursery South,NS1,66.2,69.4,2134,405,51.2,Synthetic environmental + utility data for planning and analytics
1/3/2025,Nursery South,NS1,72.9,56.8,1869,345.9,48,Synthetic environmental + utility data for planning and analytics
1/4/2025,Nursery South,NS1,72,62,2304,328.4,56.5,Synthetic environmental + utility data for planning and analytics
